title,company,location,salary_min,salary_max,description,role_category
Software Development Engineer,Accenture,"Pune, Maharashtra",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Software Development Engineer Project Role Description : Analyze, design, code and test multiple components of application code across one or more clients. Perform maintenance, enhancements and/or development work. Must have skills : SAP BusinessObjects Data Services Good to have skills : NA Educati…",software developer
Software Development Manager,ABB,"Bangalore, Karnataka",,,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Lead Technology Product Manager What we believe in ABB's Process Autom…",software developer
Software Development Engineer,Accenture,"Bangalore, Karnataka",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Software Development Engineer Project Role Description : Analyze, design, code and test multiple components of application code across one or more clients. Perform maintenance, enhancements and/or development work. Must have skills : SAP Basis Administration Good to have skills : NA Minimum 5 year(s…",software developer
Senior Software Developer,Springer Nature,"Pune, Maharashtra",,,"This job is with Springer Nature, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Senior Software Developer - Snapp Reviewer Experience Location(s): Pune About Springer Nature Springer Nature opens the doors to discovery for researchers, educators, clinicians and other professionals. Every day, around the globe, our imprints, books, journals, platforms and technology solutions …",software developer
Senior Software Developer,S&P Global,"Hyderabad, Telangana",,,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 10 The Role: Senior Software Developer The Team: We are looking for highly motivated, enthusiastic and skilled software engineer to join an agile scrum team developing technology solutions for S&P Global Market Intelligence. The team is responsible for modernizing a…",software developer
Software Developer - PL/SQL,Avaloq,"Pune, Maharashtra",,,"This job is with Avaloq, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Company Description Founded and headquartered in Switzerland, Avaloq is continuously expanding its global footprint with around 2,500 colleagues in 10 countries, and more than 160 clients in 35 countries. We are an industry-leading provider of wealth management technology and services for financial institutions aroun…",software developer
"Lead II, Software Development/Engineering",S&P Global,"Noida, Ghaziabad",,,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 12 About the Role: We are looking for a Senior Full Stack Software Engineer who thrives on building high-performance, scalable, and AI-augmented enterprise applications. This role demands strong backend engineering in Java, while delivering full-stack solutions with…",software developer
Associate Software Development Engineer - Information Security,S&P Global,"Hyderabad, Telangana",,,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 08 Key Responsibilities - Secure Development Guidance: Assist in providing actionable security guidance to engineering teams across server-side development, UI frameworks, and cloud integrations. - Threat Modeling & Reviews: Partner with senior engineers to perform …",software developer
"Senior Software Engineer, Backend Development (Python)",S&P Global,"Hyderabad, Telangana",,,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 03 Who We Are Kensho is S&P Global's hub for AI innovation and transformation . With expertise in Machine Learning and data discovery, we develop and deploy novel solutions for S&P Global and its customers worldwide. Our solutions help businesses harness the power o…",software developer
Business Development Manager - Software Sales,MokshaaLLC,"Chennai, Tamil Nadu",,,"About the Role We are seeking a high-performing, results-driven Enterprise Software Sales Executive to spearhead the expansion of our Sage X3 implementation and consulting services across the United States market. In this role, you will target mid-to-large manufacturing, distribution, and food & beverage enterprises, guiding them away from rigid legacy systems and positioning our specialized Sage X3 deployment expertise. If you have a hunter mindset, deep enterprise software sales experience, a…",software developer
"Software Engineering Manager, Backend Development (Python)",S&P Global,"Hyderabad, Telangana",,,"This job is with S&P Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About the Role: Grade Level (for internal use): 03 Who We Are Kensho is S&P Global's hub for AI innovation and transformation . With expertise in Machine Learning and data discovery, we develop and deploy novel solutions for S&P Global and its customers worldwide. Our solutions help businesses harness the power o…",software developer
Technical Project Manager,INFIMATRIX,India,,,"Job Title: Technical Project Manager Experience: 4 Years Location: Pune / Mumbai Department: Engineering / Technology Employment Type: Full-Time Job Summary We are looking for an experienced Technical Project Manager to lead and manage software development projects from initiation to successful delivery. The ideal candidate should have a strong background in software development projects , with the ability to coordinate cross-functional teams, manage project timelines, and ensure high-quality d…",software developer
Flight Control Engineer,Suitable AI,"Bangalore, Karnataka",,,"We are looking for a Flight Control Engineer with 3–5 years of experience in the Aerospace domain, specializing in the design and development of Flight Control Systems (FCS). The candidate should have strong expertise in Aircraft Dynamics , including 6-DOF (Six Degrees of Freedom) linear and non-linear modeling , along with hands-on experience in Modeling & Simulation and Real-Time Operating Systems (RTOS) . The role involves developing flight control algorithms and control logic from scratch u…",software developer
Senior Business Development Executive,Hidden Brains InfoTech,"Ahmedabad, Gujarat",,,"Job Title: Senior Business Development Executive (IT Services) Experience: 4–6 Years Location: Ahmedabad (Work from Office Only) About Hidden Brains Infotech Hidden Brains Infotech is a globally recognized software development and IT consulting company with over two decades of experience delivering innovative digital solutions. We specialize in custom software development, web and mobile application development, cloud solutions, AI, data engineering, enterprise applications, and digital transfo…",software developer
Senior Program Manager,MathWorks,"Hyderabad, Telangana",,,"Summary: Would you like to join an industry leading Program Management team that is constantly solving new and challenging problems? Do you want to work with commercial software products that make the world a better place? If you answered yes to these questions, we want to speak with you. MathWorks is the leading developer of technical computing software (MATLAB and Simulink). Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and developmen…",software developer
Custom Software Engineer,Accenture,"Hyderabad, Telangana",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Custom Software Engineer Project Role Description : Develop custom software solutions to design, code, and enhance components across systems or applications. Use modern frameworks and agile practices to deliver scalable, high-performing solutions tailored to specific business needs. Must have skills…",software developer
Junior Architect,PROJECT ARCHITECTS ASSOCIATES,India,,,"Job description Company Description PROJECT ARCHITECTS ASSOCIATES is India’s leading architectural service providing firm based in Pune. The firm focuses on client satisfaction through creativity, hard work, and technical experience. Their areas of expertise include Master Planning, Architecture, Landscape, Interiors, Heritage Conservation, and Consultant services. The team at PROJECT ARCHITECTS ASSOCIATES strives for perfection in all areas to design the world creatively. Role Description This…",software developer
Technical Project Manager,Kanerika Inc,"Hyderabad, Telangana",,,"We are seeking a Technical Project Manager with a strong development background and deep understanding of Agile and Scrum methodologies. The ideal candidate must have previous experience as a software developer, proficiency in one or more programming languages, and hands-on exposure to software delivery processes. This is a leadership role that requires both technical insight and project management expertise. What You Will Do: Lead and manage cross-functional engineering teams to deliver high-q…",software developer
Business Development Manager - North America,Elevati Infotech Pvt Ltd,India,,,"About Elevati Elevati Infotech is a software development company helping startups and businesses build scalable web applications, mobile apps, cloud solutions, DevOps platforms, and AI-powered products. We are looking for an ambitious Business Development professional who can help us expand our presence in the USA market and generate new business opportunities. What You Will Do Generate and qualify new business opportunities in the USA market Build relationships with startup founders, CTOs, pro…",software developer
Custom Software Engineer,Accenture,"Noida, Ghaziabad",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Project Role : Custom Software Engineer Project Role Description : Develop custom software solutions to design, code, and enhance components across systems or applications. Use modern frameworks and agile practices to deliver scalable, high-performing solutions tailored to specific business needs. Must have skills…",software developer
Solution Engineer,ABB,"Bangalore, Karnataka",,,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Digital Solution Engineering Manager What we believe in ABB's Process …",software developer
Technical Project Manager,Persistent Systems,India,,,"About Position: We are seeking an experienced Technical Project Manager to lead and manage complex .NET Core-based software development projects. The ideal candidate will possess strong project management expertise, excellent stakeholder management capabilities, and a solid technical foundation in software development. This role requires driving project execution, ensuring timely delivery, managing client expectations, and collaborating with cross-functional teams to deliver high-quality soluti…",software developer
Manager - Internal Audit（IT Audit）,AXA Global Business Services ,India,,,"This position will report into Chief Audit Executive (CAE) of AGBS. Primary responsibility will include delivering the audits as per the agreed audit plan assigned to the resource. In addition, the position will also be responsible for other aspects such as team management, quality assurances, delivering on department specific initiatives. Key Responsibilities: Audit Planning: Assist the CAE or Lead in conducting a comprehensive risk assessment (including of the audit universe as a base for ann…",software developer
Technical Project Manager,CLIRNET,"Kolkata, West Bengal",,,"Job Description – Technical Project Manager Job Title: Technical Project Manager Experience: 5 Years Employment Type: Full-Time Location: Kolkata Job Summary We are seeking an experienced Technical Project Manager with a strong PHP/LAMP background and Business Analysis experience to manage end-to-end web application and software development projects. The ideal candidate should have a strong understanding of the PHP/LAMP technology stack , software development lifecycle, Agile methodologies, and…",software developer
Senior Software Engineer,ABB,"Bangalore, Karnataka",,,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Principal Software Engineer What We Believe In ABB’s Process Automatio…",software developer
"Senior Engineer - CAD Customization, Engineering Automation & AI Solutions",Creative Synergies Group,"Bangalore, Karnataka",,,"Creative Synergies Group Overview Creative is a leading global technology services firm delivering innovative solutions that synergies our deep engineering domain expertise and Digital Engineering Services Creative’s global team of 1,600 “Can-Do” engineers collaborate with our 40 Fortune 500 clients to help them achieve their strategic and operational objectives (Including Google, Tesla, Samsung, Mercedes, Toyota, Mitsubishi, Hitachi) 95% of our revenues accrue from US, Europe, Japan based cust…",software developer
Senior Technical Support,Dover India,"Bangalore, Karnataka",,,"About Dover: Dover is a diversified global manufacturer with annual revenue of over $7 billion. We deliver innovative equipment and components, specialty systems, consumable supplies, software and digital solutions, and support services through five operating segments: Engineered Products, Fueling Solutions, Imaging & Identification, Pumps & Process Solutions and Refrigeration & Food Equipment. Dover combines global scale with operational agility to lead the markets we serve. Recognized for our…",software developer
Assistant General Manager / Sr. Manager - Design & Development,NIBE Limited,"Bangalore, Karnataka",,,"Sr. Manager – Design & Development Qualification: BE Experience: 10 – 15 Years Location: Bangalore CTC (Max): ₹20 LPA Role Overview The Senior Manager – Design & Development (Hardware & Software) is responsible for strategic leadership and overall ownership of electronic hardware and software design activities at the Bangalore location . The role oversees complete product design lifecycle including architecture definition, detailed design, validation, and release support for Electronics Lab and…",software developer
Software Developer,,"Surat, Gujarat",,,"Hello all, We are looking for software developer. Sr. software developer -8 Skill Required - c#, oracle for desktop application Exp required: 2 to 8 yrs. Jr. software Developer-6 Fresher’s may also apply. Qualification: BCA/MCA/BE/ME (COMPUTER IT)/MSC IT/BSC IT SALARY: 7000/- TO 70000/- pm LOCATION: SURAT SEND YOUR RESUME ON hrvaibhavgems.co.in",software developer
Software Developer,Trigent Software Private Limited,"Chauth Ka Barwara, Sawai Madhopur",1000000.0,4000000.0,"We are looking for a skilled Azure Developer with strong experience in C#, .NET, and Microsoft Azure to design, develop, and support scalable cloud-native applications and APIs. Key Skills 3 5 years of experience in C#, .NET, ASP.NET MVC, and Web API development. Strong hands-on experience with Microsoft Azure services, including: Azure App Services (Web Apps, APIs, Functions) Azure API Management (APIM) Azure Cache for Redis Azure Cosmos DB Azure SQL Database / SQL Server Azure Service Bus, Ev…",software developer
Software Developer,Check Point Software Technologies,"Bangalore, Karnataka",,,"Job Description Join Check Point’s Endpoint Security R&D group and help us build the next generation of cloud-based endpoint security products. We are looking for a strong, motivated, and highly technical Frontend Engineer to join a team building a lean, fast, and competitive cloud product that integrates with Check Point’s broader Workspace Security platform. As part of the team, you will work with talented engineers, product managers, UX designers, QA engineers, and stakeholders across the or…",software developer
Software Developer/Senior Software Developer,ConsultBae,"Bangalore, Karnataka",750000.0,3000000.0,Role : Senior Software Engineer/Software Engineer Experience : 1-2 Year(s)/2-4 Year(s) Location : Bangalore Education : B. Tech(CSE)/similar field of study/equivalent practical experience Minimum qualifications: Software development experience in one or more general purpose programming languages. Experience working with two or more from the following: Mobile Application Development Distributed Computing Machine Learning Image Processing Developing Large Software Systems Working proficiency and …,software developer
Software Developer / Senior Software Developer,Advantmed,India,,,"Software Developer (.Net Core) We are looking for an experienced and motivated Senior Software Engineer with a strong background in C#, .Net Core and Azure. In this role, you will design, develop, and deploy innovative web applications and high-performance, scalable backend services. You will work on designing, implementing, and optimizing core backend functionalities, and your expertise will drive key architectural decisions. Experience with Azure Cosmos DB and GraphQL is a strong plus, as you…",software developer
Field Sales Executive,DEONICS TECHNOLOGIES PRIVATE LIMITED,India,,,"Company Description DEONICS Technologies Private Limited provides a wide range of technology services that help businesses manage and optimize their IT infrastructure. The company’s offerings include software development, web development, app creation, systems integration, IT consulting, cloud services, cybersecurity, and technical support. DEONICS focuses on delivering efficient and secure IT environments tailored to client needs. Team members collaborate with diverse organizations and industr…",software developer
Project Manager,Aikaara Technologies Pvt Ltd,India,,,"AIKAARA TECHNOLOGIES PRIVATE LIMITED Position: Project Manager Location: Pune, India (Work from Office) Employment Type: Full-Time Experience: 5–8 Years CTC: Up to ₹14 LPA About the Role Aikaara Technologies is looking for an experienced Project Manager to lead the delivery of enterprise software projects for US-based clients. The ideal candidate should have strong experience managing Agile software development teams, coordinating with clients, tracking project execution, and ensuring successfu…",software developer
Senior Content Writer,Unified Infotech,"Kolkata, West Bengal",,,"About Unified Infotech Unified Infotech is a globally recognized technology consulting and software development company with over 14 years of experience delivering innovative web, mobile, and enterprise solutions. We partner with startups, MSMEs, and Fortune-level enterprises across the USA, Europe, APAC, LATAM, the Middle East, and India to create digital products that solve complex business challenges and drive growth. At Unified, work goes beyond delivering projects—it is about innovation, c…",software developer
Technical Lead,ABB,"Bangalore, Karnataka",,,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: R&D Leader(Industrial Software)-AUEN BL What We Believe In ABB's Proce…",software developer
Software Developer,Dexoc - Software Development Company,"Ahmedabad, Gujarat",100000.0,200000.0,"Microsoft .Net technology based Software programmer Skills:- Java, Data Structures, Algorithms, Scala, C++, C#, Cisco Certified Network Associate (CCNA) and Go Programming (Golang)",software developer
software developer,BIGSCAL TECHNOLOGIES PVT LTD.,"Surat, Gujarat",50000.0,180000.0,"We are seeking a highly motivated and talented individual to join our team as a Fresher Software Developer. As a software developer, you will be involved in the entire software development life cycle, from concept and design to testing and deployment. This is an excellent opportunity for recent graduates or individuals with limited professional experience to kickstart their career in software development. Responsibilities: Coding and Development : Collaborate with cross-functional teams to anal…",software developer
Software developer,Cryt,"Pune, Maharashtra",,,"Job Title : Software Developer Location : India Company Name : Autojob.app About the Company: Autojob.app is a cutting-edge platform revolutionizing the job search process by automating applications, resume tracking, and follow-up communications. Designed for efficiency, it empowers users to apply for multiple jobs effortlessly while maximizing their chances of success. With features like real-time analytics, customizable tools, and global reach, Autojob is transforming how job seekers and empl…",software developer
software developer,Bankbazaar.com,"Chennai, Tamil Nadu",200000.0,300000.0,"A software developer's job description may vary depending on the organization and specific project, but generally, it includes: Bachelor's degree in computer science, software engineering, or a related field (sometimes, relevant experience can substitute for formal education). Proficiency in one or more programming languages and related technologies. Strong problem-solving skills and attention to detail. Knowledge of software development methodologies (e.g., Agile, Scrum). Familiarity with soft…",software developer
Software Developer,International design & Engineering solutions pvt ltd,"Pune, Maharashtra",400000.0,1200000.0,"Work with developers to design algorithms and flowcharts Prepare GUI dummy screens for proposed Software development using Excel VBA. (To Give a overview how the software buttons and flow of information should happen) Coordination with Software Developer team to explain the criteria Produce clean, efficient code based on specifications Integrate software components and third-party programs Verify and deploy programs and systems Troubleshoot, debug and upgrade existing software Gather and evalua…",software developer
Software Developer,In-Net India,"Navi Mumbai, Maharashtra",,,"DOTNET DEVELOPER We are looking for a Software Developer to build and implement functional programs. You will work with other Developers and Product Managers throughout the software development life cycle. In this role, you should be a team player with a keen eye for detail and problem-solving skills. If you also have experience in Agile frameworks and popular coding languages (e.g. Asp.net,vb.net,c#), we’d like to meet you. Your goal will be to build efficient programs and systems that serve u…",software developer
Software Developer,Live Connections,"Bangalore, Karnataka",,,"Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot and debug applications Participate in code reviews a…",software developer
Software Developer,Live Connections,"Pune, Maharashtra",,,"Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot and debug applications Participate in code reviews a…",software developer
Software Developer,Live Connections,"Gurgaon, Haryana",,,"Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot and debug applications Participate in code reviews a…",software developer
Software Developer,Adani,"Ahmedabad, Gujarat",,,"Description About Business: Adani Group: In recent years, we have evolved from a new player in power generation to India’s largest private thermal power producer, with a capacity of 15,250 MW and a 40 MW solar project in Gujarat. It has created a world-class logistics and utility infrastructure portfolio that has a pan-India presence. Adani Group is headquartered in Ahmedabad, in the state of Gujarat, India. Over the years, Adani Group has positioned itself to be the market leader in its logist…",software developer
Software Developer,In Touch,"Hyderabad, Telangana",,,"About the Job We are looking for a Software Developer to have an opportunity to be part of the growing Product Development team that will own the responsibility to develop and deliver tasks on time. As Software Developer, You Will… Integrate user-facing elements developed by front-end developers with server side logic Write reusable, testable, and efficient code Design and implement of low-latency, high-availability, and performant applications Implement security and data protection Integrate d…",software developer
Software Developer,Live Connections,"Pune, Maharashtra",,,"Key Skills: Full Stack Engineer (( Java  MSB  ReactJS )) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubles…",software developer
Software Developer,Live Connections,"Bangalore, Karnataka",,,"Key Skills: Full Stack Engineer (Java  MSB) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot and debu…",software developer
Software Developer,Live Connections,"Pune, Maharashtra",,,"Key Skills: Full Stack Engineer (Java  MSB  Angular  Azure) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troub…",software developer
Software Developer,Live Connections,"Gurgaon, Haryana",,,"Key Skills: Full Stack Engineer (Node JS, Graph QL) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot …",software developer
Software Developer,Live Connections,"Bangalore, Karnataka",,,"Key Skills: Full Stack Engineer (Node JS, Graph QL) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot …",software developer
Software Developer,Live Connections,"Bangalore, Karnataka",,,"Key Skills: Full Stack Engineer (Java  MSB) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot and debu…",software developer
Software Developer,Live Connections,"Pune, Maharashtra",,,"Key Skills: Full Stack Engineer (Node JS, Graph QL) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot …",software developer
Software Developer,Live Connections,"Bangalore, Karnataka",,,"Key Skills: Full Stack Engineer (Node JS, Graph QL) Description We are seeking a skilled Software Developer with 6-12 years of experience to join our dynamic team in India. The ideal candidate will have a strong background in software development, a passion for technology, and the ability to work collaboratively in a fast-paced environment. Responsibilities Design, develop, and maintain software applications Collaborate with cross-functional teams to define and design new features Troubleshoot …",software developer
Software Developer,Real Placements,"Ahmedabad, Gujarat",,,"Job Description: Software Developer C programmer engineer degree (0-2 years: 2) * Engineering Degree * C and Embedded programming skills PHP developer (1-3 years: 1) * PHP concepts, * OOP concepts * JS * Sql queries * Html A Software Developer job description typically involves designing, building, testing, and maintaining software applications . They collaborate with other developers and stakeholders to gather requirements, design the architecture, write and test code, and ensure the software …",software developer
Software Developer,Teamlease Digital Private Limited,"Navi Mumbai, Maharashtra",,,"Job Description Participate in the full software development lifecycle, including analysis, design, test, and delivery Develop web applications using a variety of languages and technologies Facilitate design and architecture brainstorms Participate in code reviews Collaborate with team members to define and implement solutions Skills: Analysis, Code Review, Design, Test, Software Development Experience: 1.00-9.00 Years",software developer
Software Developer,,"Bangalore, Karnataka",,,"Hudson Agile Ventures is a US based MNC Company, focused on creating sustainable value growth through innovative solutions and technology with business goals while minimizing the IT risk. We are hiring for software developers for our office in Whitefield, Bangalore. Intrested candidates have to undergo a 3 months paid training with stipend (3rd month) and after which they will be placed in our company as software developers.",software developer
Software Developer,Milestone Online Technology,"Ahmedabad, Gujarat",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Gurgaon, Haryana",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Lucknow, Uttar Pradesh",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Pune, Maharashtra",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Ernakulam, Kerala",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Bangalore, Karnataka",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Milestone Online Technology,"Patna, Bihar",,,"Job description Need software developers for Java, Python, Android, MEAN Stack and Front end development. BTech (CS/IT/EC/EE), MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should have passion for software development. javascripts sql Skills: Javascripts, Android, Sql, Java, Python Experience: 0.00-1.00 Years",software developer
Software Developer,Multi Recruit,"Bangalore, Karnataka",750000.0,2000000.0,Understand the overall requirements of the product/platform and specifically for the assigned feature/module. Design and Develop Software as per the product architecture and requirements. Code and unit testing of the feature/modules including appropriate design reviews and code inspections. Ensure adherence to the software development processes. Investigates software/system problems to isolate the root cause and provides innovative solutions. Collaborates with cross-functional teams (locally & …,software developer
Software Developer,httpsnanopreciseio,India,500000.0,1000000.0,"● Bachelors in Software or related field ● 5 years of professional software development experience ● Strong scripting and programming skills, at least one of Python, Java or Go . ● Application architecture and design patterns ● Strong unit test and debugging skills. Create and execute software tests (regression testing) ● Experience with microservice architecture ● Database integration and maintenance experience, preferably in mongoDB. ● Experience serving as technical lead throughout the full …",software developer
Software Developer,Aviin Jobs Services,"Bangalore, Karnataka",,,"Job description We are seeking a talented and motivated Software Developer with 2–6 years of professional experience to join our team. The ideal candidate will hold a University Degree in Computer Science or a related technical field and possess a strong foundation. Role: Full Stack Developer Industry Type: Software Product Department: Engineering - Software & QA Employment Type: Full Time, Permanent Role Category: Software Development Education UG: B.Tech/B.E. in Any Specialization Skills: Git…",software developer
Software Developer,Camp Yellow,"Delhi, India",1800000.0,2500000.0,"We are looking for a passionate Software Engineer to design, develop and scale software solutions. Responsibilities include gathering user requirements, defining system functionality and writing code in various languages, like JavaScript, Python, Scala, Java. Our ideal candidates are familiar with the software development lifecycle (SDLC) from preliminary system analysis to tests and deployment. Ultimately, the role of the Software Engineer is to build high-quality, innovative and fully perform…",software developer
Software Developer,BUDDIAI,"Chennai, Tamil Nadu",0.0,1500000.0,"Job description We are looking for a passionate Software Development Engineer to develop, test, maintain and document program code in accordance with user requirements and system technical specifications. As a Software Development Engineer, you will work with other Developers and Product Managers throughout the software development life cycle. Software Development Engineer responsibilities include analysing requirements, define system functionality and writing code in the companys current techn…",software developer
Software Developer,Fujitsu,"Bangalore, Karnataka",,,"Lead Software Engineer (Lateral Hire)Lead Software EngineerDepartment: Software EngineeringReports To: Software Engineering ManagerRole Purpose:To contribute to the design, development, and implementation of innovative software solutions for Composable Disaggregated Infrastructure (CDI) within a high-performing engineering team This role will focus on developing of managing, monitoring and ing systems for CDI hardware with GUI functionalities The successful candidate will collaborate effectivel…",software developer
Software Developer,Fujitsu,"Bangalore, Karnataka",,,"Lead Software Engineer (Lateral Hire)Lead Software EngineerDepartment: Software EngineeringReports To: Software Engineering ManagerRole Purpose:To contribute to the design, development, and implementation of innovative software solutions for Composable Disaggregated Infrastructure (CDI) within a high-performing engineering team This role will focus on developing of managing, monitoring and ing systems for CDI hardware with GUI functionalities The successful candidate will collaborate effectivel…",software developer
